Date,Time,Duration,Region,Disruption_Type,Impact_Level,Infrastructure
2024-12-10,23:40,6,Oceania,Timing Error,Low,GPS
2020-06-27,06:43,26,Europe,Signal Loss,Medium,GPS
2016-06-11,04:20,42,Europe,Accuracy Drop,High,GPS
2016-09-17,01:40,23,North America,Signal Loss,Medium,GPS
2017-12-02,06:31,35,Asia,Timing Error,High,GPS
2017-05-04,16:30,23,Europe,Accuracy Drop,Medium,GPS
2021-06-21,05:17,41,Europe,Timing Error,High,GPS
2022-10-25,23:52,20,North America,Accuracy Drop,Medium,GPS
2024-05-16,03:03,40,Oceania,Timing Error,High,GPS
2019-02-01,15:13,57,Oceania,Accuracy Drop,High,GPS
2018-01-12,16:42,59,Asia,Signal Loss,High,GPS
2024-07-15,16:20,18,Asia,Signal Loss,Medium,GPS
2021-11-04,10:34,56,North America,Signal Loss,High,GPS
2023-07-21,09:02,56,Asia,Signal Loss,High,GPS
2024-06-15,13:55,51,Europe,Accuracy Drop,High,GPS
2020-04-28,09:45,33,Oceania,Accuracy Drop,High,GPS
2020-08-06,23:17,52,North America,Timing Error,High,GPS
2022-12-24,20:44,28,North America,Timing Error,Medium,GPS
2015-12-29,06:01,43,Oceania,Timing Error,High,GPS
2018-01-12,04:25,2,Asia,Timing Error,Low,GPS
2019-05-11,09:41,11,Oceania,Signal Loss,Medium,GPS
2024-02-03,19:41,29,North America,Accuracy Drop,Medium,GPS
2019-10-29,04:41,56,Europe,Timing Error,High,GPS
2021-06-18,03:38,6,Oceania,Signal Loss,Low,GPS
2021-04-13,15:51,22,Europe,Accuracy Drop,Medium,GPS
2015-09-02,21:37,45,Asia,Signal Loss,High,GPS
2018-03-29,22:41,43,Oceania,Timing Error,High,GPS
2019-11-21,16:21,38,North America,Signal Loss,High,GPS
2015-12-27,15:48,8,North America,Signal Loss,Low,GPS
2021-03-16,20:36,27,Asia,Accuracy Drop,Medium,GPS
2023-09-17,14:42,6,Asia,Accuracy Drop,Low,GPS
2021-09-18,06:58,6,Oceania,Timing Error,Low,GPS
2016-05-14,01:04,50,North America,Timing Error,High,GPS
2022-10-27,11:31,23,Oceania,Accuracy Drop,Medium,GPS
2016-04-20,08:43,5,Oceania,Accuracy Drop,Low,GPS
2020-12-11,05:14,27,Oceania,Timing Error,Medium,GPS
2020-09-16,05:27,44,Asia,Timing Error,High,GPS
2016-03-22,00:02,45,North America,Accuracy Drop,High,GPS
2016-12-24,08:39,14,Europe,Timing Error,Medium,GPS
2019-02-13,03:45,56,Europe,Timing Error,High,GPS
2019-05-31,17:29,31,Asia,Timing Error,High,GPS
2016-09-28,05:04,59,Europe,Accuracy Drop,High,GPS
2020-09-13,10:53,42,North America,Accuracy Drop,High,GPS
2021-03-09,02:01,37,Europe,Signal Loss,High,GPS
2015-06-24,12:48,5,Europe,Signal Loss,Low,GPS
2015-10-29,18:51,19,Asia,Accuracy Drop,Medium,GPS
2023-12-25,12:17,18,North America,Timing Error,Medium,GPS
2024-05-04,15:07,13,Europe,Signal Loss,Medium,GPS
2016-04-13,16:45,40,Asia,Signal Loss,High,GPS
2016-07-15,12:17,21,Oceania,Accuracy Drop,Medium,GPS
2017-03-01,02:49,45,Europe,Accuracy Drop,High,GPS
2020-10-12,06:18,14,North America,Accuracy Drop,Medium,GPS
2024-08-28,20:23,29,North America,Accuracy Drop,Medium,GPS
2022-04-28,03:11,16,North America,Accuracy Drop,Medium,GPS
2015-09-13,19:36,22,Asia,Accuracy Drop,Medium,GPS
2024-02-13,23:00,29,Europe,Accuracy Drop,Medium,GPS
2021-12-13,09:01,41,North America,Signal Loss,High,GPS
2021-02-25,03:45,46,Asia,Accuracy Drop,High,GPS
2018-05-22,10:23,28,Asia,Signal Loss,Medium,GPS
2015-08-18,08:47,58,Oceania,Signal Loss,High,GPS
2017-04-16,10:53,10,Oceania,Timing Error,Low,GPS
2023-07-16,22:41,19,Europe,Signal Loss,Medium,GPS
2021-04-05,23:00,24,Oceania,Accuracy Drop,Medium,GPS
2017-04-26,12:19,26,Asia,Signal Loss,Medium,GPS
2019-03-31,01:42,43,Europe,Timing Error,High,GPS
2021-11-16,02:58,51,Oceania,Accuracy Drop,High,GPS
2015-03-27,01:16,58,Asia,Timing Error,High,GPS
2018-06-14,13:26,31,Oceania,Signal Loss,High,GPS
2022-04-01,23:50,46,Asia,Accuracy Drop,High,GPS
2019-01-11,13:51,10,Europe,Accuracy Drop,Low,GPS
2024-08-23,19:28,54,Asia,Accuracy Drop,High,GPS
2017-10-31,03:35,12,North America,Timing Error,Medium,GPS
2015-10-12,09:02,44,Asia,Accuracy Drop,High,GPS
2023-11-13,08:32,40,North America,Timing Error,High,GPS
2020-07-25,07:12,47,North America,Accuracy Drop,High,GPS
2021-10-12,13:36,6,North America,Signal Loss,Low,GPS
2016-10-03,22:39,4,Europe,Signal Loss,Low,GPS
2024-08-05,08:21,20,North America,Accuracy Drop,Medium,GPS
2019-05-23,23:27,25,Oceania,Timing Error,Medium,GPS
2019-09-16,17:46,53,Oceania,Signal Loss,High,GPS
2019-07-22,22:54,21,Oceania,Accuracy Drop,Medium,GPS
2019-06-21,06:09,36,North America,Accuracy Drop,High,GPS
2018-08-03,08:33,45,Europe,Accuracy Drop,High,GPS
2017-12-23,23:09,17,Europe,Accuracy Drop,Medium,GPS
2023-04-24,23:38,57,Asia,Accuracy Drop,High,GPS
2019-08-18,12:27,7,Europe,Timing Error,Low,GPS
2017-12-15,02:22,14,Europe,Timing Error,Medium,GPS
2019-03-17,08:24,52,Asia,Timing Error,High,GPS
2018-01-19,17:06,7,Oceania,Accuracy Drop,Low,GPS
2023-11-04,08:49,39,Asia,Signal Loss,High,GPS
2019-06-27,12:35,56,Asia,Timing Error,High,GPS
2022-11-02,13:00,15,Oceania,Signal Loss,Medium,GPS
2022-03-29,07:01,50,Asia,Accuracy Drop,High,GPS
2016-02-06,12:53,3,Asia,Timing Error,Low,GPS
2018-08-28,18:23,28,Asia,Signal Loss,Medium,GPS
2024-08-28,20:59,4,North America,Timing Error,Low,GPS
2016-11-05,19:55,40,Asia,Timing Error,High,GPS
2016-09-11,01:24,48,Europe,Timing Error,High,GPS
2022-10-06,02:30,23,Asia,Signal Loss,Medium,GPS
2024-03-13,07:56,8,Asia,Accuracy Drop,Low,GPS
2022-05-12,23:17,12,Asia,Signal Loss,Medium,GPS
2021-10-10,14:14,26,Oceania,Signal Loss,Medium,GPS
2024-06-24,05:56,17,Europe,Signal Loss,Medium,GPS
2016-08-31,01:01,50,Asia,Signal Loss,High,GPS
2020-07-31,22:02,45,North America,Accuracy Drop,High,GPS
2022-10-20,15:38,19,North America,Timing Error,Medium,GPS
2021-02-24,05:03,33,Oceania,Timing Error,High,GPS
2024-07-12,16:31,47,Asia,Timing Error,High,GPS
2016-11-23,09:44,36,Asia,Timing Error,High,GPS
2024-06-05,13:37,54,North America,Timing Error,High,GPS
2021-07-10,22:59,20,Europe,Signal Loss,Medium,GPS
2019-07-27,00:48,58,Asia,Signal Loss,High,GPS
2017-11-02,12:18,7,Oceania,Timing Error,Low,GPS
2020-02-28,03:19,11,Oceania,Timing Error,Medium,GPS
2021-07-19,11:03,49,North America,Accuracy Drop,High,GPS
2021-01-17,11:47,58,Asia,Accuracy Drop,High,GPS
2018-03-08,22:36,21,Europe,Timing Error,Medium,GPS
2022-11-08,17:28,44,Asia,Accuracy Drop,High,GPS
2017-01-22,16:49,41,Europe,Accuracy Drop,High,GPS
2017-07-07,17:09,31,Europe,Signal Loss,High,GPS
2023-04-26,13:00,49,North America,Timing Error,High,GPS
2016-12-26,03:51,3,Asia,Timing Error,Low,GPS
2016-08-06,12:27,29,Asia,Timing Error,Medium,GPS
2022-10-20,02:56,35,Europe,Timing Error,High,GPS
2022-01-24,18:17,31,North America,Timing Error,High,GPS
2016-03-15,13:09,53,Oceania,Timing Error,High,GPS
2017-02-05,22:13,49,Europe,Signal Loss,High,GPS
2021-09-01,15:47,48,Asia,Signal Loss,High,GPS
2019-06-04,07:57,51,North America,Timing Error,High,GPS
2019-08-01,17:07,29,North America,Timing Error,Medium,GPS
2024-04-08,05:14,29,Oceania,Timing Error,Medium,GPS
2024-06-07,02:33,27,Europe,Signal Loss,Medium,GPS
2015-05-19,00:15,20,Europe,Signal Loss,Medium,GPS
2017-01-17,09:33,9,Asia,Timing Error,Low,GPS
2023-12-03,16:23,53,Oceania,Signal Loss,High,GPS
2021-04-12,15:08,14,North America,Accuracy Drop,Medium,GPS
2024-11-08,12:18,38,Asia,Accuracy Drop,High,GPS
2023-09-02,05:02,32,Europe,Signal Loss,High,GPS
2021-07-21,15:29,36,Asia,Timing Error,High,GPS
2019-04-13,07:32,4,Oceania,Signal Loss,Low,GPS
2023-12-28,21:44,26,Oceania,Signal Loss,Medium,GPS
2023-09-30,19:01,50,Europe,Signal Loss,High,GPS
2019-07-23,12:24,59,Asia,Timing Error,High,GPS
2024-01-19,19:24,11,North America,Timing Error,Medium,GPS
2020-09-02,01:53,55,Asia,Timing Error,High,GPS
2023-04-15,04:17,23,Asia,Timing Error,Medium,GPS
2023-09-04,02:31,12,Oceania,Timing Error,Medium,GPS
2016-08-08,21:07,10,Asia,Timing Error,Low,GPS
2018-04-13,01:46,6,Asia,Signal Loss,Low,GPS
2020-06-02,18:50,57,Europe,Signal Loss,High,GPS
2019-11-29,07:56,35,Europe,Signal Loss,High,GPS
2017-01-01,16:34,37,Europe,Signal Loss,High,GPS
2023-01-01,10:54,29,North America,Signal Loss,Medium,GPS
2018-03-06,16:40,37,Oceania,Accuracy Drop,High,GPS
2021-02-09,17:12,49,Oceania,Signal Loss,High,GPS
2020-09-15,02:12,12,Europe,Signal Loss,Medium,GPS
2021-12-31,16:33,29,North America,Timing Error,Medium,GPS
2020-12-09,11:39,18,North America,Signal Loss,Medium,GPS
2021-12-05,13:47,31,North America,Signal Loss,High,GPS
2016-03-01,10:22,42,Asia,Accuracy Drop,High,GPS
2017-12-17,15:01,10,North America,Accuracy Drop,Low,GPS
2016-06-09,06:39,19,Oceania,Timing Error,Medium,GPS
2017-05-08,08:30,1,Oceania,Accuracy Drop,Low,GPS
2016-08-14,16:23,15,North America,Accuracy Drop,Medium,GPS
2015-10-27,08:55,49,Europe,Accuracy Drop,High,GPS
2022-07-22,16:29,15,Asia,Timing Error,Medium,GPS
2021-05-27,01:41,53,Europe,Accuracy Drop,High,GPS
2016-09-14,01:20,42,Oceania,Accuracy Drop,High,GPS
2024-07-31,22:02,1,Asia,Timing Error,Low,GPS
2021-07-07,02:02,1,North America,Signal Loss,Low,GPS
2022-11-28,07:45,49,North America,Signal Loss,High,GPS
2019-10-16,14:12,24,Asia,Signal Loss,Medium,GPS
2017-02-09,03:41,49,North America,Signal Loss,High,GPS
2024-05-12,22:36,10,Asia,Signal Loss,Low,GPS
2022-02-02,13:39,2,Europe,Timing Error,Low,GPS
2020-08-29,04:16,2,Oceania,Timing Error,Low,GPS
2024-09-12,07:52,41,North America,Timing Error,High,GPS
2022-09-28,13:58,59,Europe,Timing Error,High,GPS
2019-03-25,00:42,15,Asia,Signal Loss,Medium,GPS
2016-09-19,03:18,14,Oceania,Timing Error,Medium,GPS
2015-10-01,12:05,6,Oceania,Accuracy Drop,Low,GPS
2016-05-09,01:55,12,Asia,Timing Error,Medium,GPS
2023-01-19,11:22,13,Oceania,Signal Loss,Medium,GPS
2018-03-05,15:34,58,Asia,Accuracy Drop,High,GPS
2018-05-27,13:32,35,North America,Signal Loss,High,GPS
2022-12-29,08:30,9,Asia,Timing Error,Low,GPS
2021-10-10,15:29,15,Oceania,Timing Error,Medium,GPS
2015-03-05,08:52,17,Asia,Signal Loss,Medium,GPS
2024-08-11,02:19,12,Asia,Accuracy Drop,Medium,GPS
2019-09-21,13:55,41,Oceania,Signal Loss,High,GPS
2024-12-19,19:28,51,Asia,Accuracy Drop,High,GPS
2016-10-14,23:39,14,Asia,Timing Error,Medium,GPS
2017-07-04,04:15,46,Oceania,Timing Error,High,GPS
2023-11-09,07:50,11,Europe,Accuracy Drop,Medium,GPS
2021-06-14,07:52,30,Oceania,Accuracy Drop,Medium,GPS
2020-02-17,12:56,58,Europe,Timing Error,High,GPS
2023-12-16,02:59,46,North America,Timing Error,High,GPS
2022-11-11,10:35,32,Oceania,Timing Error,High,GPS
2018-03-20,20:28,46,Europe,Signal Loss,High,GPS
2022-04-22,20:23,34,Asia,Accuracy Drop,High,GPS
2017-10-09,17:58,20,Oceania,Signal Loss,Medium,GPS
2015-04-23,12:46,43,Europe,Timing Error,High,GPS
2024-09-04,03:39,55,North America,Accuracy Drop,High,GPS
2023-02-07,00:10,40,Europe,Accuracy Drop,High,GPS
2020-10-12,22:21,58,Europe,Timing Error,High,GPS
2015-03-25,04:22,40,North America,Accuracy Drop,High,GPS
2017-01-24,20:03,51,North America,Accuracy Drop,High,GPS
2021-07-23,03:07,23,North America,Accuracy Drop,Medium,GPS
2023-11-12,05:31,25,North America,Signal Loss,Medium,GPS
2015-12-01,11:31,43,North America,Signal Loss,High,GPS
2015-01-21,16:19,8,North America,Accuracy Drop,Low,GPS
2022-11-08,13:19,49,North America,Signal Loss,High,GPS
2024-03-06,17:44,34,Europe,Accuracy Drop,High,GPS
2024-11-12,03:49,33,Europe,Accuracy Drop,High,GPS
2018-06-06,09:22,48,Oceania,Accuracy Drop,High,GPS
2016-01-07,19:52,7,Asia,Accuracy Drop,Low,GPS
2018-11-24,09:23,43,Oceania,Timing Error,High,GPS
2024-06-03,08:14,47,Oceania,Accuracy Drop,High,GPS
2020-05-26,06:09,55,Asia,Signal Loss,High,GPS
2024-01-31,13:16,10,Oceania,Signal Loss,Low,GPS
2016-12-08,15:55,7,North America,Timing Error,Low,GPS
2021-08-19,15:16,40,Asia,Accuracy Drop,High,GPS
2022-02-16,13:45,47,Oceania,Accuracy Drop,High,GPS
2019-08-12,00:47,35,Oceania,Signal Loss,High,GPS
2022-04-24,13:41,43,North America,Signal Loss,High,GPS
2020-10-30,12:28,52,Asia,Timing Error,High,GPS
2015-05-24,12:41,10,Oceania,Accuracy Drop,Low,GPS
2015-03-17,01:35,43,North America,Accuracy Drop,High,GPS
2017-07-24,02:31,53,North America,Signal Loss,High,GPS
2023-09-01,15:49,2,North America,Signal Loss,Low,GPS
2019-04-09,08:15,34,Asia,Accuracy Drop,High,GPS
2021-08-16,05:20,19,Asia,Accuracy Drop,Medium,GPS
2016-11-28,20:19,20,North America,Timing Error,Medium,GPS
2022-01-03,04:02,47,Europe,Accuracy Drop,High,GPS
2016-03-15,06:52,34,North America,Accuracy Drop,High,GPS
2016-05-06,21:36,53,Europe,Accuracy Drop,High,GPS
2017-04-06,08:07,34,Europe,Signal Loss,High,GPS
2015-11-21,13:45,12,Europe,Timing Error,Medium,GPS
2023-11-02,10:05,25,North America,Timing Error,Medium,GPS
2019-07-07,01:40,45,Asia,Accuracy Drop,High,GPS
2020-03-31,15:38,30,Europe,Timing Error,Medium,GPS
2022-09-01,21:28,28,North America,Accuracy Drop,Medium,GPS
2018-09-14,05:30,47,Asia,Accuracy Drop,High,GPS
2017-11-24,19:34,33,Europe,Accuracy Drop,High,GPS
2017-06-14,04:38,24,Europe,Timing Error,Medium,GPS
2017-01-31,05:02,16,Oceania,Signal Loss,Medium,GPS
2017-08-11,11:04,10,Europe,Accuracy Drop,Low,GPS
2015-12-09,13:58,16,Oceania,Timing Error,Medium,GPS
2021-04-08,04:35,24,Asia,Accuracy Drop,Medium,GPS
2016-02-23,14:50,50,North America,Timing Error,High,GPS
2018-03-05,10:50,51,Asia,Timing Error,High,GPS
2018-10-21,07:25,23,North America,Signal Loss,Medium,GPS
2019-04-16,23:40,40,North America,Accuracy Drop,High,GPS
2022-09-03,19:46,6,Asia,Accuracy Drop,Low,GPS
2023-08-25,23:05,55,Asia,Accuracy Drop,High,GPS
2016-03-10,00:52,17,Oceania,Accuracy Drop,Medium,GPS
2018-08-23,01:59,44,Europe,Timing Error,High,GPS
2018-12-28,12:08,15,Europe,Timing Error,Medium,GPS
2017-05-18,17:49,36,Oceania,Timing Error,High,GPS
2024-01-31,01:21,21,North America,Timing Error,Medium,GPS
2016-01-12,14:38,3,North America,Accuracy Drop,Low,GPS
2021-04-26,15:02,21,Oceania,Accuracy Drop,Medium,GPS
2022-09-25,23:08,51,Europe,Timing Error,High,GPS
2023-03-30,22:35,48,Asia,Signal Loss,High,GPS
2016-12-25,02:14,47,North America,Accuracy Drop,High,GPS
2024-04-03,09:12,28,North America,Timing Error,Medium,GPS
2021-10-02,09:09,3,Europe,Timing Error,Low,GPS
2020-08-26,19:00,39,Oceania,Timing Error,High,GPS
2016-08-16,06:07,33,Europe,Timing Error,High,GPS
2024-06-21,22:26,8,Europe,Signal Loss,Low,GPS
2021-12-16,07:41,3,Europe,Signal Loss,Low,GPS
2024-04-24,05:57,24,Oceania,Timing Error,Medium,GPS
2016-01-17,13:23,37,Europe,Accuracy Drop,High,GPS
2024-01-24,02:58,56,Asia,Signal Loss,High,GPS
2019-01-12,22:25,31,North America,Signal Loss,High,GPS
2021-10-02,19:32,48,Oceania,Signal Loss,High,GPS
2015-09-27,06:45,19,North America,Timing Error,Medium,GPS
2024-07-05,03:31,18,North America,Accuracy Drop,Medium,GPS
2015-12-09,04:35,16,Asia,Timing Error,Medium,GPS
2024-01-25,11:13,24,North America,Timing Error,Medium,GPS
2022-05-13,01:55,13,Oceania,Signal Loss,Medium,GPS
2015-10-28,00:08,25,Europe,Accuracy Drop,Medium,GPS
2018-04-15,00:45,50,Oceania,Signal Loss,High,GPS
2018-06-25,16:08,35,North America,Signal Loss,High,GPS
2018-01-03,14:36,36,Oceania,Accuracy Drop,High,GPS
2023-05-23,23:47,38,Europe,Timing Error,High,GPS
2021-02-07,05:16,42,Europe,Accuracy Drop,High,GPS
2019-07-15,21:30,40,Asia,Accuracy Drop,High,GPS
2022-08-09,02:53,13,Asia,Signal Loss,Medium,GPS
2024-12-19,21:47,23,Oceania,Signal Loss,Medium,GPS
2022-05-16,09:58,17,Oceania,Accuracy Drop,Medium,GPS
2017-03-13,22:07,37,Oceania,Timing Error,High,GPS
2024-09-10,12:49,8,Asia,Signal Loss,Low,GPS
2019-08-23,12:41,12,Europe,Signal Loss,Medium,GPS
2020-08-06,00:21,37,North America,Signal Loss,High,GPS
2021-04-29,18:22,41,Europe,Accuracy Drop,High,GPS
2015-05-18,23:17,49,North America,Timing Error,High,GPS
2018-01-10,03:58,20,Europe,Signal Loss,Medium,GPS
2019-04-17,08:05,24,Europe,Accuracy Drop,Medium,GPS
2020-01-12,11:38,51,Asia,Timing Error,High,GPS
2020-10-07,12:32,9,Oceania,Accuracy Drop,Low,GPS
2024-05-22,11:12,55,Asia,Accuracy Drop,High,GPS
2022-06-23,09:07,29,North America,Accuracy Drop,Medium,GPS
2024-08-29,21:24,6,Asia,Timing Error,Low,GPS
2024-05-16,03:35,13,Europe,Signal Loss,Medium,GPS
2019-05-15,14:29,9,Europe,Timing Error,Low,GPS
2022-06-24,01:28,3,Oceania,Accuracy Drop,Low,GPS
2017-12-03,19:40,45,Asia,Accuracy Drop,High,GPS
2017-11-17,17:33,42,Asia,Signal Loss,High,GPS
2022-10-25,06:00,5,Oceania,Accuracy Drop,Low,GPS
2024-03-11,01:22,37,Europe,Signal Loss,High,GPS
2021-02-03,23:20,9,North America,Timing Error,Low,GPS
2017-06-24,13:56,53,North America,Signal Loss,High,GPS
2022-09-14,00:45,10,North America,Timing Error,Low,GPS
2022-01-11,23:53,30,North America,Timing Error,Medium,GPS
2015-10-19,04:59,23,Asia,Accuracy Drop,Medium,GPS
2015-12-31,15:31,3,Oceania,Accuracy Drop,Low,GPS
2019-02-13,10:28,13,North America,Signal Loss,Medium,GPS
2015-06-30,20:29,37,North America,Signal Loss,High,GPS
2021-06-15,07:16,8,Europe,Signal Loss,Low,GPS
2018-10-19,20:03,39,North America,Accuracy Drop,High,GPS
2024-05-24,15:02,48,Asia,Signal Loss,High,GPS
2024-01-04,06:18,45,North America,Signal Loss,High,GPS
2017-10-24,08:35,6,Oceania,Accuracy Drop,Low,GPS
2018-01-05,07:58,51,Asia,Timing Error,High,GPS
2016-02-28,17:14,52,North America,Timing Error,High,GPS
2022-12-14,20:49,45,North America,Signal Loss,High,GPS
2017-04-15,03:50,50,North America,Signal Loss,High,GPS
2020-11-17,12:24,42,North America,Signal Loss,High,GPS
2020-12-13,20:27,47,Oceania,Accuracy Drop,High,GPS
2016-10-21,10:16,46,North America,Accuracy Drop,High,GPS
2019-01-07,20:07,56,Oceania,Timing Error,High,GPS
2022-09-24,09:44,16,North America,Signal Loss,Medium,GPS
2022-03-23,23:10,7,Asia,Signal Loss,Low,GPS
2018-08-22,15:55,39,Europe,Timing Error,High,GPS
2018-08-05,03:04,1,Asia,Timing Error,Low,GPS
2022-10-16,14:58,15,North America,Signal Loss,Medium,GPS
2017-01-19,01:06,54,Asia,Signal Loss,High,GPS
2021-02-18,11:49,35,North America,Accuracy Drop,High,GPS
2017-03-29,12:27,29,Asia,Signal Loss,Medium,GPS
2021-01-21,13:16,31,Europe,Signal Loss,High,GPS
2020-06-08,05:14,8,Oceania,Timing Error,Low,GPS
2018-06-25,07:34,31,Asia,Signal Loss,High,GPS
2018-03-15,14:48,35,Oceania,Timing Error,High,GPS
2018-05-20,11:54,34,Oceania,Timing Error,High,GPS
2016-07-27,04:39,46,Oceania,Signal Loss,High,GPS
2019-11-19,20:35,12,Asia,Timing Error,Medium,GPS
2020-12-24,02:41,15,Asia,Timing Error,Medium,GPS
2022-02-27,16:10,57,Oceania,Signal Loss,High,GPS
2021-02-27,06:08,59,Asia,Timing Error,High,GPS
2021-03-26,21:08,21,North America,Signal Loss,Medium,GPS
2018-07-05,10:17,29,Oceania,Accuracy Drop,Medium,GPS
2020-07-16,04:00,35,Europe,Accuracy Drop,High,GPS
2020-09-17,03:28,52,Oceania,Signal Loss,High,GPS
2017-09-27,12:29,45,Europe,Timing Error,High,GPS
2022-05-08,14:45,9,Europe,Timing Error,Low,GPS
2017-04-08,12:06,38,North America,Signal Loss,High,GPS
2019-02-25,21:56,56,Asia,Accuracy Drop,High,GPS
2019-05-23,11:07,5,Asia,Accuracy Drop,Low,GPS
2023-09-02,04:55,30,Europe,Timing Error,Medium,GPS
2023-10-16,12:53,7,Europe,Signal Loss,Low,GPS
2023-04-10,23:28,13,Oceania,Signal Loss,Medium,GPS
2020-10-13,21:52,31,Oceania,Accuracy Drop,High,GPS
2015-08-16,06:03,12,North America,Accuracy Drop,Medium,GPS
2015-02-19,00:39,45,Oceania,Signal Loss,High,GPS
2022-11-22,00:02,1,Europe,Timing Error,Low,GPS
2023-10-01,00:07,33,North America,Signal Loss,High,GPS
2015-10-12,20:52,30,Oceania,Signal Loss,Medium,GPS
2018-09-13,18:54,54,Europe,Timing Error,High,GPS
2020-05-09,18:25,36,Asia,Accuracy Drop,High,GPS
2020-12-04,00:33,38,Asia,Timing Error,High,GPS
2022-11-05,07:07,11,Oceania,Timing Error,Medium,GPS
2022-03-09,18:11,6,Asia,Accuracy Drop,Low,GPS
2015-05-03,01:45,30,North America,Signal Loss,Medium,GPS
2024-06-25,16:32,46,Asia,Timing Error,High,GPS
2021-01-12,10:06,55,Oceania,Timing Error,High,GPS
