Hour,Month,DayOfWeek,Infrastructure,Speed,Direction,Width,Impact_Level
12,2,6,CME,1244.0,E,205.0,Medium
18,6,3,CME,2680.0,NE,284.0,High
20,5,3,CME,358.0,E,296.0,Low
5,5,0,CME,2039.0,NE,68.0,High
17,4,0,CME,2816.0,W,99.0,High
17,9,3,CME,2146.0,NE,176.0,High
9,7,2,CME,2219.0,SE,63.0,High
11,4,6,CME,1607.0,SW,320.0,Medium
18,6,3,CME,2928.0,W,224.0,High
13,5,1,CME,2747.0,NE,295.0,High
17,1,3,CME,359.0,N,354.0,Low
11,9,4,CME,460.0,NW,17.0,Low
3,9,6,CME,2735.0,S,32.0,High
20,3,4,CME,1705.0,E,167.0,Medium
14,3,5,CME,2825.0,SW,132.0,High
11,3,0,CME,929.0,SE,225.0,Medium
4,7,2,CME,1650.0,NW,102.0,Medium
19,3,5,CME,433.0,NW,320.0,Low
4,4,6,CME,2536.0,SW,55.0,High
10,4,4,CME,1518.0,SW,355.0,Medium
4,8,5,CME,1052.0,S,183.0,Medium
5,1,2,CME,507.0,NW,13.0,Low
12,12,0,CME,331.0,W,222.0,Low
19,7,1,CME,603.0,S,235.0,Low
16,8,2,CME,1681.0,S,267.0,Medium
12,2,0,CME,841.0,NE,227.0,Medium
22,2,4,CME,2469.0,S,121.0,High
18,8,0,CME,384.0,SW,212.0,Low
16,3,3,CME,2908.0,E,315.0,High
20,8,2,CME,1080.0,W,61.0,Medium
10,6,5,CME,1641.0,NE,30.0,Medium
17,8,2,CME,2208.0,NE,299.0,High
8,12,6,CME,605.0,E,158.0,Low
9,1,6,CME,1448.0,E,35.0,Medium
5,11,4,CME,1950.0,W,196.0,Medium
7,6,4,CME,865.0,E,213.0,Medium
18,4,3,CME,330.0,NW,183.0,Low
10,7,4,CME,2929.0,W,277.0,High
16,3,3,CME,2059.0,S,145.0,High
6,12,6,CME,1910.0,SW,244.0,Medium
23,3,2,CME,426.0,NW,189.0,Low
18,4,1,CME,2631.0,E,342.0,High
20,4,2,CME,2719.0,NE,335.0,High
20,9,0,CME,996.0,E,285.0,Medium
5,10,5,CME,584.0,S,241.0,Low
17,1,4,CME,1033.0,NW,15.0,Medium
10,9,2,CME,2473.0,N,76.0,High
15,9,2,CME,2142.0,NW,101.0,High
18,8,2,CME,2832.0,SE,12.0,High
22,10,3,CME,1866.0,NE,109.0,Medium
16,2,1,CME,1271.0,SE,140.0,Medium
13,12,1,CME,347.0,NW,287.0,Low
22,10,5,CME,1974.0,W,113.0,Medium
16,11,4,CME,2501.0,N,132.0,High
20,4,4,CME,2727.0,NE,297.0,High
2,2,1,CME,1900.0,SE,285.0,Medium
2,1,3,CME,2506.0,NE,299.0,High
17,1,1,CME,2200.0,NW,257.0,High
19,8,5,CME,1021.0,NW,162.0,Medium
4,3,1,CME,1340.0,SW,241.0,Medium
17,4,6,CME,2327.0,SE,68.0,High
19,8,4,CME,1631.0,NW,255.0,Medium
8,12,0,CME,1625.0,NW,18.0,Medium
5,9,0,CME,959.0,E,43.0,Medium
7,11,4,CME,896.0,N,231.0,Medium
2,8,5,CME,2406.0,S,111.0,High
3,10,0,CME,555.0,N,129.0,Low
5,1,5,CME,2463.0,E,56.0,High
6,1,0,CME,2032.0,S,232.0,High
9,4,0,CME,2143.0,NW,138.0,High
7,11,0,CME,2649.0,NE,218.0,High
11,3,1,CME,2319.0,N,269.0,High
9,1,6,CME,2903.0,N,58.0,High
2,8,3,CME,706.0,SW,215.0,Low
3,8,6,CME,740.0,E,288.0,Low
12,4,4,CME,2745.0,S,292.0,High
10,2,4,CME,2450.0,E,55.0,High
13,7,6,CME,2932.0,S,138.0,High
10,11,1,CME,1484.0,N,220.0,Medium
14,7,2,CME,2836.0,SE,100.0,High
18,9,4,CME,1271.0,SE,34.0,Medium
4,12,6,CME,2960.0,NE,270.0,High
20,3,4,CME,1770.0,NW,298.0,Medium
20,4,3,CME,2628.0,NE,138.0,High
15,2,2,CME,525.0,S,292.0,Low
11,3,0,CME,1972.0,E,134.0,Medium
10,12,2,CME,1788.0,SE,290.0,Medium
13,5,2,CME,2137.0,E,206.0,High
1,2,6,CME,2223.0,W,209.0,High
18,1,3,CME,1313.0,N,159.0,Medium
9,3,4,CME,1012.0,N,83.0,Medium
11,10,3,CME,2854.0,E,359.0,High
12,4,3,CME,685.0,NE,177.0,Low
16,10,0,CME,399.0,SW,126.0,Low
9,1,3,CME,674.0,SW,104.0,Low
2,4,5,CME,2328.0,W,244.0,High
10,4,1,CME,2058.0,SE,299.0,High
18,4,4,CME,2093.0,NW,187.0,High
11,10,6,CME,1857.0,W,338.0,Medium
6,5,3,CME,1536.0,S,286.0,Medium
2,9,6,CME,2865.0,S,116.0,High
18,7,5,CME,2030.0,SW,324.0,High
1,1,3,CME,1655.0,NW,225.0,Medium
14,5,3,CME,816.0,W,101.0,Medium
22,3,0,CME,2295.0,SE,262.0,High
8,12,1,CME,2060.0,N,247.0,High
19,8,4,CME,1762.0,SW,331.0,Medium
3,4,4,CME,1268.0,NW,155.0,Medium
16,12,0,CME,1625.0,NW,311.0,Medium
1,1,3,CME,394.0,NW,355.0,Low
11,11,1,CME,1470.0,S,218.0,Medium
17,11,3,CME,813.0,E,316.0,Medium
11,4,6,CME,1877.0,SE,154.0,Medium
13,8,0,CME,1142.0,NW,225.0,Medium
16,1,6,CME,345.0,W,348.0,Low
11,6,2,CME,1315.0,NE,220.0,Medium
17,10,2,CME,417.0,N,168.0,Low
14,9,4,CME,1158.0,S,254.0,Medium
23,5,5,CME,2279.0,NW,82.0,High
7,10,5,CME,1364.0,S,322.0,Medium
9,2,3,CME,2067.0,SW,16.0,High
16,7,1,CME,1117.0,W,94.0,Medium
15,8,2,CME,2273.0,SW,125.0,High
8,2,3,CME,330.0,NE,223.0,Low
18,4,4,CME,1783.0,SE,180.0,Medium
7,7,6,CME,1403.0,E,113.0,Medium
2,6,2,CME,1877.0,NE,259.0,Medium
16,5,4,CME,2125.0,SW,213.0,High
14,2,0,CME,301.0,W,133.0,Low
12,8,6,CME,1219.0,S,171.0,Medium
1,5,1,CME,1205.0,NW,55.0,Medium
2,9,3,CME,1155.0,E,175.0,Medium
12,4,5,CME,1566.0,NW,172.0,Medium
1,7,4,CME,1182.0,E,354.0,Medium
15,12,5,CME,1295.0,E,290.0,Medium
1,6,6,CME,547.0,E,74.0,Low
19,8,1,CME,471.0,N,273.0,Low
16,5,2,CME,2638.0,NW,240.0,High
6,4,3,CME,1114.0,S,166.0,Medium
23,11,4,CME,1898.0,N,244.0,Medium
4,2,3,CME,2048.0,W,273.0,High
8,5,0,CME,2528.0,NW,90.0,High
14,7,4,CME,2163.0,N,161.0,High
4,6,1,CME,770.0,S,333.0,Low
21,11,5,CME,838.0,SE,284.0,Medium
5,10,3,CME,906.0,E,234.0,Medium
14,1,0,CME,2117.0,SE,146.0,High
9,12,5,CME,2436.0,NW,67.0,High
11,10,3,CME,809.0,SW,224.0,Medium
12,10,4,CME,2952.0,E,53.0,High
14,11,5,CME,1827.0,W,220.0,Medium
4,4,5,CME,1155.0,NW,336.0,Medium
8,5,2,CME,2672.0,W,179.0,High
18,10,2,CME,429.0,E,285.0,Low
3,9,0,CME,886.0,NW,353.0,Medium
3,2,2,CME,1024.0,W,122.0,Medium
6,9,4,CME,1816.0,NE,54.0,Medium
5,12,0,CME,2517.0,W,271.0,High
21,12,3,CME,1850.0,SW,214.0,Medium
16,5,6,CME,2290.0,NE,134.0,High
6,8,2,CME,1569.0,N,70.0,Medium
20,7,6,CME,442.0,E,307.0,Low
12,10,0,CME,696.0,S,15.0,Low
2,9,3,CME,1316.0,SW,143.0,Medium
23,10,5,CME,2469.0,E,126.0,High
0,3,4,CME,1895.0,N,151.0,Medium
22,5,1,CME,1709.0,S,114.0,Medium
11,8,4,CME,1103.0,E,21.0,Medium
15,6,1,CME,319.0,E,140.0,Low
10,5,1,CME,437.0,W,34.0,Low
14,2,6,CME,2282.0,NE,172.0,High
23,7,0,CME,857.0,E,88.0,Medium
18,9,4,CME,2384.0,SE,340.0,High
2,6,0,CME,921.0,SE,157.0,Medium
14,5,3,CME,1345.0,W,309.0,Medium
0,6,6,CME,440.0,NE,335.0,Low
14,9,2,CME,958.0,N,71.0,Medium
15,11,2,CME,432.0,W,236.0,Low
2,1,2,CME,347.0,N,293.0,Low
13,4,5,CME,2759.0,SE,212.0,High
21,3,0,CME,1970.0,E,235.0,Medium
6,10,2,CME,2220.0,SW,13.0,High
11,12,6,CME,2568.0,E,123.0,High
4,9,2,CME,852.0,S,356.0,Medium
4,12,5,CME,722.0,E,220.0,Low
5,11,2,CME,1632.0,NW,216.0,Medium
12,3,6,CME,1798.0,S,314.0,Medium
21,2,2,CME,2427.0,NW,248.0,High
2,2,5,CME,1295.0,SE,261.0,Medium
19,9,4,CME,1788.0,S,245.0,Medium
0,4,2,CME,2621.0,NW,190.0,High
23,11,0,CME,913.0,SW,17.0,Medium
20,7,4,CME,545.0,E,92.0,Low
21,1,2,CME,323.0,E,347.0,Low
6,6,1,CME,2599.0,S,144.0,High
10,2,4,CME,772.0,S,178.0,Low
1,11,1,CME,655.0,SW,219.0,Low
14,6,4,CME,2322.0,NW,203.0,High
9,3,5,CME,406.0,W,140.0,Low
4,1,5,CME,1083.0,S,19.0,Medium
2,4,4,CME,2718.0,NE,237.0,High
2,3,3,CME,1076.0,SW,154.0,Medium
1,10,1,CME,2312.0,SE,314.0,High
18,11,4,CME,1298.0,SW,313.0,Medium
11,3,4,CME,1769.0,S,239.0,Medium
23,12,0,CME,1184.0,S,121.0,Medium
2,3,3,CME,2442.0,N,227.0,High
12,10,6,CME,2062.0,S,120.0,High
0,4,6,CME,1074.0,NW,206.0,Medium
18,6,1,CME,1051.0,NW,172.0,Medium
17,2,5,CME,2305.0,S,296.0,High
21,6,4,CME,1200.0,NE,255.0,Medium
9,11,5,CME,1728.0,S,46.0,Medium
21,8,2,CME,1041.0,S,50.0,Medium
3,2,5,CME,2235.0,N,335.0,High
23,10,6,CME,568.0,W,244.0,Low
16,8,3,CME,393.0,NE,183.0,Low
9,10,2,CME,639.0,SW,295.0,Low
10,1,6,CME,2965.0,NE,311.0,High
20,6,2,CME,379.0,E,228.0,Low
23,8,4,CME,737.0,W,75.0,Low
20,12,6,CME,442.0,SE,248.0,Low
8,7,4,CME,451.0,SE,196.0,Low
21,6,5,CME,1599.0,N,307.0,Medium
18,7,3,CME,365.0,SE,33.0,Low
1,6,4,CME,588.0,NW,14.0,Low
4,8,0,CME,1642.0,SE,203.0,Medium
7,11,1,CME,1927.0,E,111.0,Medium
5,5,2,CME,2854.0,SE,144.0,High
6,8,2,CME,2867.0,S,150.0,High
17,10,5,CME,1735.0,NW,230.0,Medium
0,3,1,CME,1541.0,E,131.0,Medium
17,11,3,CME,2961.0,NW,275.0,High
15,7,5,CME,978.0,NE,145.0,Medium
11,7,3,CME,1664.0,S,25.0,Medium
4,2,4,CME,1357.0,SE,36.0,Medium
20,6,3,CME,1978.0,SE,80.0,Medium
3,6,0,CME,2421.0,SE,25.0,High
5,4,1,CME,948.0,E,277.0,Medium
10,2,3,CME,605.0,N,41.0,Low
0,9,2,CME,2903.0,SE,94.0,High
1,5,2,CME,2523.0,S,225.0,High
6,5,2,CME,693.0,W,76.0,Low
9,11,4,CME,1631.0,NW,79.0,Medium
0,2,0,CME,1580.0,N,76.0,Medium
1,12,1,CME,769.0,N,352.0,Low
8,9,3,CME,2106.0,N,225.0,High
1,2,0,CME,501.0,SW,239.0,Low
13,5,3,CME,1756.0,NE,254.0,Medium
6,10,4,CME,1733.0,W,336.0,Medium
15,3,5,CME,1270.0,S,308.0,Medium
1,3,5,CME,2978.0,NW,79.0,High
4,11,3,CME,1370.0,SE,304.0,Medium
11,2,2,CME,1852.0,SW,319.0,Medium
5,5,3,CME,1837.0,S,178.0,Medium
6,9,1,CME,739.0,E,319.0,Low
18,8,1,CME,2160.0,E,120.0,High
14,8,5,CME,1304.0,E,123.0,Medium
3,6,3,CME,2272.0,S,346.0,High
14,5,0,CME,913.0,E,12.0,Medium
2,7,5,CME,2323.0,SW,119.0,High
0,8,4,CME,2185.0,S,207.0,High
17,5,6,CME,2630.0,S,269.0,High
13,8,3,CME,1062.0,N,93.0,Medium
9,4,4,CME,494.0,S,252.0,Low
18,2,6,CME,377.0,SE,207.0,Low
12,8,0,CME,2796.0,NW,37.0,High
12,11,1,CME,800.0,NW,44.0,Low
1,11,6,CME,2204.0,E,287.0,High
9,10,4,CME,2741.0,N,176.0,High
12,1,2,CME,1983.0,SW,236.0,Medium
17,12,4,CME,323.0,N,218.0,Low
18,4,3,CME,1200.0,NW,332.0,Medium
15,6,5,CME,646.0,NE,88.0,Low
11,8,2,CME,1860.0,N,69.0,Medium
15,12,0,CME,1393.0,N,94.0,Medium
17,6,4,CME,814.0,NE,272.0,Medium
4,6,3,CME,681.0,W,284.0,Low
18,7,3,CME,769.0,W,336.0,Low
17,9,4,CME,968.0,NW,304.0,Medium
14,7,4,CME,2380.0,SE,267.0,High
18,11,2,CME,2967.0,N,50.0,High
9,7,4,CME,1620.0,S,90.0,Medium
5,4,1,CME,2237.0,NE,164.0,High
3,4,1,CME,2937.0,N,263.0,High
12,4,1,CME,2562.0,E,34.0,High
8,3,6,CME,1110.0,SE,304.0,Medium
3,8,4,CME,1812.0,N,42.0,Medium
4,1,0,CME,2162.0,SE,74.0,High
9,6,0,CME,2033.0,E,117.0,High
9,11,6,CME,1420.0,NE,131.0,Medium
1,10,5,CME,2361.0,NW,21.0,High
12,1,4,CME,731.0,N,277.0,Low
13,11,5,CME,1237.0,E,316.0,Medium
2,1,1,CME,2495.0,S,272.0,High
3,7,0,CME,2164.0,NW,105.0,High
4,3,2,CME,2354.0,SE,259.0,High
0,4,1,CME,558.0,N,266.0,Low
13,5,4,CME,1319.0,E,93.0,Medium
23,10,0,CME,530.0,NW,28.0,Low
5,3,3,CME,407.0,S,22.0,Low
16,5,1,CME,2200.0,W,339.0,High
16,3,6,CME,2462.0,W,197.0,High
16,8,2,CME,2208.0,SE,111.0,High
19,10,3,CME,333.0,S,169.0,Low
5,9,5,CME,1359.0,SE,236.0,Medium
20,6,3,CME,2099.0,SW,224.0,High
1,11,3,CME,1124.0,SW,233.0,Medium
5,7,2,CME,674.0,E,349.0,Low
16,3,5,CME,2718.0,W,179.0,High
1,5,1,CME,678.0,E,166.0,Low
1,9,2,CME,1978.0,SW,261.0,Medium
17,6,0,CME,1520.0,W,117.0,Medium
11,9,1,CME,1825.0,S,98.0,Medium
12,6,4,CME,2578.0,SW,350.0,High
1,1,0,CME,2488.0,NW,249.0,High
1,6,4,CME,2667.0,E,237.0,High
19,3,1,CME,2792.0,NE,52.0,High
10,7,3,CME,1030.0,NW,47.0,Medium
12,3,2,CME,2369.0,N,358.0,High
4,8,1,CME,1010.0,NW,167.0,Medium
4,6,1,CME,2142.0,NW,343.0,High
11,4,2,CME,1155.0,E,100.0,Medium
23,1,3,CME,502.0,W,240.0,Low
12,12,4,CME,316.0,E,86.0,Low
20,5,4,CME,815.0,S,183.0,Medium
5,1,6,CME,2109.0,W,159.0,High
22,11,4,CME,1104.0,NE,76.0,Medium
21,5,2,CME,2594.0,NE,217.0,High
12,9,0,CME,2653.0,N,117.0,High
7,2,3,CME,1969.0,S,55.0,Medium
5,1,0,CME,1305.0,N,303.0,Medium
22,1,4,CME,2939.0,SW,143.0,High
20,1,2,CME,1745.0,S,183.0,Medium
10,2,0,CME,1900.0,SE,13.0,Medium
22,8,2,CME,363.0,NW,338.0,Low
23,9,4,CME,2761.0,S,335.0,High
18,4,0,CME,2556.0,NE,233.0,High
0,11,1,CME,1270.0,W,222.0,Medium
16,10,5,CME,356.0,SE,84.0,Low
23,5,2,CME,1051.0,SE,123.0,Medium
19,9,6,CME,866.0,SE,235.0,Medium
0,12,2,CME,613.0,E,280.0,Low
8,2,4,CME,571.0,SE,271.0,Low
18,12,3,CME,2704.0,NE,38.0,High
13,3,4,CME,1435.0,N,146.0,Medium
10,5,5,CME,2723.0,E,330.0,High
17,3,6,CME,953.0,SE,342.0,Medium
8,5,6,CME,2232.0,SE,212.0,High
6,9,3,CME,520.0,S,105.0,Low
0,1,6,CME,2584.0,SW,147.0,High
21,7,1,CME,1321.0,W,30.0,Medium
6,2,4,CME,530.0,NW,94.0,Low
17,2,0,CME,556.0,E,58.0,Low
0,7,6,CME,487.0,W,324.0,Low
12,10,1,CME,1370.0,S,126.0,Medium
15,5,0,CME,1907.0,E,162.0,Medium
7,1,2,CME,1359.0,W,207.0,Medium
10,8,6,CME,1782.0,E,20.0,Medium
12,12,2,CME,2791.0,NW,301.0,High
12,1,5,CME,2718.0,NW,81.0,High
23,4,2,CME,1237.0,NE,337.0,Medium
16,9,2,CME,1728.0,S,110.0,Medium
4,9,1,CME,2040.0,E,282.0,High
6,8,2,CME,1713.0,W,331.0,Medium
9,4,3,CME,2186.0,N,54.0,High
11,9,0,CME,1503.0,E,28.0,Medium
4,5,4,CME,884.0,SE,333.0,Medium
18,4,5,CME,1689.0,N,94.0,Medium
13,10,2,CME,2090.0,E,83.0,High
23,9,6,CME,1227.0,N,282.0,Medium
2,11,0,CME,2830.0,W,352.0,High
5,2,2,CME,2368.0,N,175.0,High
18,8,5,CME,2527.0,S,29.0,High
11,12,0,CME,1542.0,S,230.0,Medium
12,7,5,CME,1242.0,NE,267.0,Medium
23,8,5,CME,1518.0,S,201.0,Medium
22,8,0,CME,2445.0,NW,37.0,High
5,11,6,CME,1406.0,SW,348.0,Medium
0,9,5,CME,1165.0,W,228.0,Medium
0,1,0,CME,2810.0,W,200.0,High
6,8,1,CME,2860.0,S,195.0,High
16,7,0,CME,1582.0,SW,292.0,Medium
5,8,4,CME,1656.0,S,268.0,Medium
8,2,3,CME,1714.0,NW,210.0,Medium
5,11,0,CME,2865.0,E,274.0,High
14,3,4,CME,2886.0,NW,183.0,High
6,10,5,CME,2700.0,NW,145.0,High
9,9,3,CME,949.0,E,40.0,Medium
1,1,6,CME,1342.0,NE,61.0,Medium
0,8,3,CME,1359.0,NE,195.0,Medium
6,2,6,CME,2035.0,NE,146.0,High
15,10,0,CME,2206.0,S,306.0,High
18,7,5,CME,2695.0,E,149.0,High
15,10,6,CME,2333.0,NW,29.0,High
22,6,5,CME,1849.0,SW,132.0,Medium
17,4,0,CME,2810.0,NE,265.0,High
19,1,5,CME,1601.0,NW,227.0,Medium
3,5,4,CME,404.0,E,30.0,Low
8,9,5,CME,687.0,SE,15.0,Low
10,7,3,CME,1732.0,SW,357.0,Medium
21,11,6,CME,621.0,SW,171.0,Low
5,10,0,CME,2003.0,SE,139.0,High
21,11,4,CME,1295.0,SW,98.0,Medium
16,3,2,CME,1909.0,NE,195.0,Medium
13,6,3,CME,2464.0,W,191.0,High
17,12,3,CME,2468.0,SE,108.0,High
10,8,5,CME,2228.0,SW,128.0,High
1,9,2,CME,969.0,E,160.0,Medium
16,9,0,CME,2778.0,SW,275.0,High
4,9,6,CME,319.0,SE,348.0,Low
3,12,3,CME,2211.0,N,355.0,High
6,8,2,CME,1304.0,SW,162.0,Medium
5,6,4,CME,733.0,NW,138.0,Low
18,4,2,CME,1364.0,N,346.0,Medium
2,2,1,CME,2512.0,NW,188.0,High
14,1,1,CME,844.0,W,241.0,Medium
7,4,6,CME,1379.0,NW,80.0,Medium
2,10,0,CME,1638.0,W,196.0,Medium
3,2,3,CME,2465.0,E,145.0,High
21,3,3,CME,433.0,NW,36.0,Low
12,1,1,CME,2315.0,SW,196.0,High
7,3,3,CME,2114.0,S,44.0,High
23,8,5,CME,1073.0,NE,180.0,Medium
11,7,5,CME,1187.0,NE,260.0,Medium
20,5,6,CME,549.0,SW,104.0,Low
10,3,4,CME,1002.0,S,243.0,Medium
8,12,6,CME,1946.0,W,315.0,Medium
13,2,2,CME,2280.0,SE,60.0,High
1,9,6,CME,1149.0,S,74.0,Medium
1,2,3,CME,1540.0,SE,251.0,Medium
12,11,4,CME,1007.0,NE,250.0,Medium
13,2,5,CME,906.0,W,116.0,Medium
15,10,3,CME,805.0,W,80.0,Medium
1,12,1,CME,964.0,S,182.0,Medium
7,3,2,CME,1386.0,SE,321.0,Medium
20,4,1,CME,2788.0,N,319.0,High
19,4,5,CME,2586.0,N,178.0,High
13,1,5,CME,1140.0,N,303.0,Medium
17,3,1,CME,1659.0,W,107.0,Medium
17,5,0,CME,1479.0,E,123.0,Medium
5,10,5,CME,932.0,SE,277.0,Medium
18,8,4,CME,1336.0,SE,247.0,Medium
1,6,6,CME,1461.0,SW,49.0,Medium
11,3,5,CME,1833.0,W,316.0,Medium
18,2,6,CME,1043.0,N,304.0,Medium
7,10,1,CME,2122.0,S,123.0,High
6,3,6,CME,1520.0,E,250.0,Medium
10,10,5,CME,845.0,NE,291.0,Medium
21,1,2,CME,1855.0,N,164.0,Medium
4,4,5,CME,655.0,NW,244.0,Low
16,10,6,CME,2642.0,SE,121.0,High
18,8,0,CME,2359.0,S,40.0,High
8,4,5,CME,1941.0,NW,58.0,Medium
0,6,4,CME,726.0,NW,20.0,Low
12,6,2,CME,1147.0,E,358.0,Medium
9,10,6,CME,827.0,S,205.0,Medium
17,5,4,CME,1306.0,N,115.0,Medium
23,7,2,CME,2254.0,E,106.0,High
23,9,4,CME,2642.0,S,53.0,High
22,9,3,CME,1421.0,S,58.0,Medium
23,11,1,CME,639.0,N,127.0,Low
6,3,3,CME,1107.0,N,186.0,Medium
7,12,1,CME,1386.0,N,137.0,Medium
12,12,1,CME,2335.0,SW,266.0,High
17,4,1,CME,846.0,E,260.0,Medium
2,5,2,CME,1113.0,E,228.0,Medium
8,5,6,CME,2000.0,N,235.0,Medium
0,6,3,CME,2710.0,SW,222.0,High
18,5,0,CME,1596.0,NE,334.0,Medium
16,7,3,CME,2326.0,N,296.0,High
17,5,1,CME,1005.0,N,87.0,Medium
8,8,4,CME,2939.0,S,238.0,High
14,3,3,CME,2878.0,SE,323.0,High
14,4,0,CME,629.0,SW,179.0,Low
20,5,3,CME,1018.0,W,55.0,Medium
16,7,6,CME,532.0,N,323.0,Low
15,5,2,CME,1599.0,NE,193.0,Medium
10,12,5,CME,2439.0,SW,279.0,High
17,11,0,CME,780.0,W,14.0,Low
4,9,2,CME,616.0,NE,113.0,Low
12,7,6,CME,2095.0,SE,290.0,High
19,3,3,CME,1930.0,SE,242.0,Medium
3,7,0,CME,1972.0,S,158.0,Medium
9,7,5,CME,2698.0,W,108.0,High
19,10,2,CME,2890.0,N,160.0,High
23,4,2,CME,2836.0,E,122.0,High
22,12,0,CME,1259.0,N,326.0,Medium
20,4,6,CME,2816.0,SW,230.0,High
18,2,5,CME,835.0,NW,79.0,Medium
5,5,0,CME,1558.0,N,249.0,Medium
9,11,4,CME,2817.0,E,164.0,High
23,11,1,CME,869.0,SW,198.0,Medium
1,2,5,CME,396.0,SW,354.0,Low
9,3,5,CME,1868.0,W,38.0,Medium
8,11,4,CME,2424.0,S,103.0,High
1,8,5,CME,1410.0,SW,137.0,Medium
14,8,0,CME,2970.0,SW,115.0,High
15,1,5,CME,1973.0,S,169.0,Medium
1,12,0,CME,448.0,SW,327.0,Low
13,8,5,CME,2768.0,E,293.0,High
4,7,6,CME,395.0,S,110.0,Low
11,9,4,CME,2228.0,N,116.0,High
14,2,2,CME,1518.0,NW,291.0,Medium
19,7,0,CME,314.0,W,251.0,Low
7,4,1,CME,1588.0,SE,149.0,Medium
7,10,6,CME,1781.0,E,154.0,Medium
3,1,4,CME,2806.0,SE,108.0,High
18,2,5,CME,869.0,NW,76.0,Medium
18,12,0,CME,2380.0,W,185.0,High
1,12,3,CME,2234.0,NE,164.0,High
12,5,3,CME,2737.0,E,342.0,High
22,10,2,CME,890.0,NE,355.0,Medium
9,3,5,CME,2897.0,NE,49.0,High
7,6,6,CME,684.0,SE,37.0,Low
21,5,2,CME,836.0,SE,49.0,Medium
18,12,1,CME,2766.0,NW,292.0,High
15,10,5,CME,2145.0,S,222.0,High
2,5,4,CME,1208.0,E,241.0,Medium
15,9,0,CME,2330.0,W,225.0,High
12,3,4,CME,1120.0,SE,334.0,Medium
13,2,4,CME,1254.0,E,139.0,Medium
17,6,6,CME,351.0,N,185.0,Low
9,11,1,CME,2836.0,SE,161.0,High
3,10,3,CME,805.0,W,299.0,Medium
12,5,5,CME,1520.0,S,103.0,Medium
10,6,6,CME,647.0,NE,156.0,Low
22,2,6,CME,461.0,E,314.0,Low
13,11,5,CME,1335.0,E,353.0,Medium
7,10,6,CME,1770.0,NE,333.0,Medium
19,12,0,CME,966.0,NW,133.0,Medium
2,1,2,CME,614.0,SW,68.0,Low
5,6,4,CME,2225.0,W,253.0,High
22,12,4,CME,2382.0,NW,324.0,High
20,6,1,CME,2449.0,W,96.0,High
22,9,5,CME,699.0,SW,68.0,Low
11,12,2,CME,736.0,W,337.0,Low
6,8,0,CME,2508.0,SW,321.0,High
13,6,1,CME,1265.0,SE,128.0,Medium
1,8,4,CME,2905.0,SE,201.0,High
17,7,6,CME,2253.0,NE,81.0,High
18,5,0,CME,1130.0,N,304.0,Medium
20,2,3,CME,1741.0,S,277.0,Medium
19,8,0,CME,2248.0,SW,322.0,High
23,9,0,CME,902.0,N,341.0,Medium
11,1,6,CME,2112.0,S,77.0,High
4,12,4,CME,2113.0,SE,291.0,High
6,6,5,CME,1089.0,NE,264.0,Medium
